nuts3,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12
DE918,0.1897965982618661,0.17821905459664011,0.13189890774741958,0.0773479936230359,0.020605118428795144,0.0017115087803926843,-5.046310646596747e-18,0.0010822517270012411,0.01550459444153584,0.07400507686666664,0.13490331441949718,0.17492558110714976
DE91A,0.19032935532822629,0.183147679788984,0.13840579090443608,0.08098946133059796,0.02014086656077305,0.001584984619499143,-8.866355708061183e-18,0.000642026812621362,0.012662426012754118,0.06961461448861474,0.13028346705649713,0.17219932709699623
DE91B,0.19054932559290796,0.18334789715895008,0.1384915082544409,0.08090801596010068,0.019861266732225845,0.00154611679746499,3.030409520711716e-17,0.0006024917441774213,0.0124502489146038,0.06952287065656239,0.13034827689388917,0.17237198129467676
DE929,0.19312500134684826,0.1856457112937025,0.13919329156098825,0.07955305227827764,0.01698307809268176,0.001156247304173365,-1.0022269562658777e-16,0.00035286137027624017,0.010932578032956452,0.06801334983373186,0.1307584045409577,0.17428642434540587
DE922,0.1880344506720508,0.1801469362079414,0.1380599398210489,0.08266231672966504,0.02284809335472778,0.0019446824123570967,-9.24072168054553e-17,0.0008557571909512738,0.013978163649504868,0.07102066826939002,0.13004622130727247,0.17040277038509016
DE923,0.1902977916372397,0.18312908047996293,0.13845915948539533,0.08109759530076129,0.02014290357342354,0.0015831751081713953,5.046142357684619e-18,0.0005917773846479135,0.012434856645251709,0.06971576440589973,0.13035002538079352,0.17219787059845273
DE925,0.19098224368299146,0.1837362883193964,0.13862356886933247,0.08070210158731798,0.019375143044537944,0.0014798264570873292,-1.4142876295475032e-16,0.0005473665440958578,0.012133949980494751,0.06928723826637015,0.1304335049048194,0.17269876834355607
DE926,0.18894174361880645,0.18191843809876143,0.13808395479872865,0.08178203746430805,0.021554053137221158,0.0017738378220337936,2.93408394455094e-17,0.0007494207913713063,0.013363294900869417,0.07051781990885134,0.13012748344499622,0.17118791601405206
DE927,0.18746685924764364,0.17965153188768584,0.13792117657761407,0.0829743929847602,0.023421413864964564,0.0020214711246993085,2.6214137627323545e-17,0.0009050337891953883,0.014289984178193582,0.07138412629891605,0.12997585513047022,0.169988154915857
DE928,0.1901599877489075,0.1830028736880709,0.13840042082905513,0.0811451265714889,0.020341479382979154,0.001610997177945632,-1.2018706892173601e-17,0.0006167679600649868,0.012567197275943085,0.06976362768262492,0.13030360256930115,0.17208791911361868
